Name,Size,Price,Link,MRP
Bakson's Homeopathy Calcarea Fluorica Biochemic Tablet 3X,bottle of 250 biochemic tablets,,https://www.1mg.com/otc/bakson-s-homeopathy-calcarea-fluorica-biochemic-tablet-3x-otc697446,
ADEL Ocimum Can Dilution 30 CH,bottle of 10 ml Dilution,142,https://www.1mg.com/otc/adel-ocimum-can-dilution-30-ch-otc327358,MRP₹1452% OFF
Dr Willmar Schwabe India Ferrum Phosphoricum Biochemic Tablet 30X,bottle of 550 gm Biochemic Tablet,,https://www.1mg.com/otc/dr-willmar-schwabe-india-ferrum-phosphoricum-biochemic-tablet-30x-otc448600,
SBL Aurum Metallicum Dilution CM CH,bottle of 10 ml Dilution,,https://www.1mg.com/otc/sbl-aurum-metallicum-dilution-cm-ch-otc385142,
Bjain Chlorum Dilution 6C,bottle of 30 ml Dilution,85.5,https://www.1mg.com/otc/bjain-chlorum-dilution-6c-otc439248,MRP₹9510% OFF
Bakson's Homeopathy Kali Muriaticum Biochemic Tablet 30X,bottle of 250 biochemic tablets,,https://www.1mg.com/otc/bakson-s-homeopathy-kali-muriaticum-biochemic-tablet-30x-otc695162,
Wheezal Curcuma Longa Dilution 200,bottle of 30 ml Dilution,93.5,https://www.1mg.com/otc/wheezal-curcuma-longa-dilution-200-otc914953,MRP₹10511% OFF
Dr Willmar Schwabe India Hypericum Perforatum Dilution 1000 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-hypericum-perforatum-dilution-1000-ch-otc404094,
Rxhomeo Phosphoricum Acidum 1M,bottle of 250 pellets,85.5,https://www.1mg.com/otc/rxhomeo-phosphoricum-acidum-1m-otc868316,MRP₹15043% OFF
Wheezal Aconitum Napellus 0/18 LM,bottle of 20 gm Drop,167,https://www.1mg.com/otc/wheezal-aconitum-napellus-0-18-lm-otc866091,MRP₹1807% OFF
Sett Dey Sepia Dilution 1M,bottle of 30 ml Dilution,85,https://www.1mg.com/otc/sett-dey-sepia-dilution-1m-otc844176,MRP₹10015% OFF
Dr Willmar Schwabe India Nasturtium Officinale Dilution 30 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-nasturtium-officinale-dilution-30-ch-otc395356,
Bjain Hepar Sulphur Dilution 10M CH,bottle of 100 ml Dilution,,https://www.1mg.com/otc/bjain-hepar-sulphur-dilution-10m-ch-otc439926,
Sett Dey Gnaphalium Polycephalum Mother Tincture,bottle of 30 ml Mother Tincture,84.5,https://www.1mg.com/otc/sett-dey-gnaphalium-polycephalum-mother-tincture-otc871975,MRP₹13035% OFF
Bakson's Homeopathy Luffa Bindal Dilution 3X,bottle of 30 ml Dilution,91.5,https://www.1mg.com/otc/bakson-s-homeopathy-luffa-bindal-dilution-3x-otc765528,MRP₹1009% OFF
Bakson's Homeopathy Alfalfa Tonic with Ginseng,bottle of 115 ml Tonic,,https://www.1mg.com/otc/bakson-s-homeopathy-alfalfa-tonic-with-ginseng-otc502630,
Dr Willmar Schwabe India Guarea trichiloides Dilution 6 CH,bottle of 30 ml Dilution,,https://www.1mg.com/otc/dr-willmar-schwabe-india-guarea-trichiloides-dilution-6-ch-otc403626,
LDD Bioscience LD 30 Inflammation Drop,bottle of 30 ml Drop,155,https://www.1mg.com/otc/ldd-bioscience-ld-30-inflammation-drop-otc722692,MRP₹1603% OFF
Wheezal WL31 Post Herpetic Neuralgia Drop,bottle of 30 ml Drop,173,https://www.1mg.com/otc/wheezal-wl31-post-herpetic-neuralgia-drop-otc387972,MRP₹1751% OFF
Bjain Justicia Adhatoda Dilution 200 CH,bottle of 12 ml Dilution,,https://www.1mg.com/otc/bjain-justicia-adhatoda-dilution-200-ch-otc709976,
SBL Strychninum Dilution 6 CH,bottle of 30 ml Dilution,93,https://www.1mg.com/otc/sbl-strychninum-dilution-6-ch-otc358654,MRP₹1007% OFF
Bjain Spigelia Marilandica Dilution 200 CH,bottle of 12 ml Dilution,58.5,https://www.1mg.com/otc/bjain-spigelia-marilandica-dilution-200-ch-otc700873,MRP₹6510% OFF
LDD Bioscience Cuprum Aceticum Dilution 1000 CH,bottle of 100 ml Dilution,207,https://www.1mg.com/otc/ldd-bioscience-cuprum-aceticum-dilution-1000-ch-otc841338,MRP₹23010% OFF
ADEL Bio-Combination 18 Tablet,bottle of 20 gm Biocombination Tablet,178,https://www.1mg.com/otc/adel-bio-combination-18-tablet-otc339644,MRP₹1801% OFF
Bakson's Homeopathy Zincum Oxydatum Dilution 200,bottle of 30 ml Dilution,105,https://www.1mg.com/otc/bakson-s-homeopathy-zincum-oxydatum-dilution-200-otc787314,MRP₹1159% OFF
